Cluster Index	Z	x	y	z	
4	12	22.9	-94.3	7.33
4	11.6	-1.71	-95.3	-7.39
4	11.1	12.3	-91.6	-0.119
4	9.78	19.6	-97.4	18.6
4	8.85	-9.09	-86.3	-22.5
4	8.71	12.5	-94.3	26
3	5.46	48.5	-1.12	53.3
3	5.27	48	11	19.5
3	5.18	54.9	14.3	15.7
3	4.93	37.5	10.8	27
3	4.56	62.2	-1.7	-6.32
3	4.44	51.9	1.96	42.1
2	5.47	-57	5.01	38.9
2	5.15	-50	5.1	31.4
2	5.05	-49.8	2.19	46.4
2	4.58	-32.2	2.95	61.2
2	4.54	-35.6	-3.66	50.2
2	3.66	-28.6	-3.57	42.7
1	4.63	17.9	72.7	-19
1	3.54	28.5	69.9	-15.3
1	3.27	28.6	70.1	-4.11
1	3.1	31.9	76.6	-0.568
1	2.91	22.2	51.1	7.55
1	2.83	25.6	51.1	0.0842
